Date	Open	High	Low	Close*	Adj Close**	Volume
Jan 20, 2016	0.0001	0.0002	0.0001	0.0002	0.0002	284,867
Jan 19, 2016	0.0002	0.0002	0.0001	0.0001	0.0001	76,181
Jan 18, 2016	0.0002	0.0002	0.0001	0.0002	0.0002	90,040
Jan 17, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	64,727
Jan 16, 2016	0.0001	0.0002	0.0001	0.0002	0.0002	240,252
Jan 15, 2016	0.0002	0.0002	0.0001	0.0001	0.0001	274,796
Jan 14, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	160,331
Jan 13, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	302,111
Jan 12, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	669,461
Jan 11, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	154,848
Jan 10, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	326,345
Jan 09, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	1,201,210
Jan 08, 2016	0.0001	0.0002	0.0001	0.0002	0.0002	306,716
Jan 07, 2016	0.0001	0.0001	0.0001	0.0001	0.0001	180,463
Jan 06, 2016	0.0001	0.0001	0.0001	0.0001	0.0001	41,477
Jan 05, 2016	0.0001	0.0002	0.0001	0.0001	0.0001	52,936
Jan 04, 2016	0.0001	0.0001	0.0001	0.0001	0.0001	92,159
Jan 03, 2016	0.0001	0.0002	0.0001	0.0001	0.0001	104,005
Jan 02, 2016	0.0002	0.0002	0.0001	0.0002	0.0002	90,477
Jan 01, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	105,224
Dec 31, 2015	0.0002	0.0002	0.0001	0.0002	0.0002	95,446
Dec 30, 2015	0.0002	0.0002	0.0001	0.0002	0.0002	124,837
Dec 29, 2015	0.0001	0.0002	0.0001	0.0002	0.0002	104,967
Dec 28, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	139,835
Dec 27, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	145,042
Dec 26, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	230,344
Dec 25, 2015	0.0001	0.0002	0.0001	0.0001	0.0001	175,660
Dec 24, 2015	0.0001	0.0002	0.0001	0.0001	0.0001	161,918
Dec 23, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	139,291
Dec 22, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	156,877
Dec 21, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	221,747
Dec 20, 2015	0.0002	0.0002	0.0001	0.0001	0.0001	171,565
Dec 19, 2015	0.0002	0.0002	0.0001	0.0002	0.0002	122,033
Dec 18, 2015	0.0002	0.0002	0.0001	0.0002	0.0002	137,046
Dec 17, 2015	0.0002	0.0002	0.0001	0.0002	0.0002	161,051
Dec 16, 2015	0.0002	0.0002	0.0001	0.0002	0.0002	219,391
Dec 15, 2015	0.0001	0.0002	0.0001	0.0001	0.0001	235,791
Dec 14, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	147,375
Dec 13, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	252,912
Dec 12, 2015	0.0001	0.0002	0.0001	0.0001	0.0001	254,496
Dec 11, 2015	0.0001	0.0002	0.0001	0.0001	0.0001	344,576
Dec 10, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	280,949
Dec 09, 2015	0.0001	0.0002	0.0001	0.0001	0.0001	645,837
Dec 08, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	228,473
Dec 07, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	120,973
Dec 06, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	145,274
Dec 05, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	131,709
Dec 04, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	120,155
Dec 03, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	131,679
Dec 02, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	99,647
Dec 01, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	132,870
Nov 30, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	149,901
Nov 29, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	93,787
Nov 28, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	88,253
Nov 27, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	48,351
Nov 26, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	120,109
Nov 25, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	65,766
Nov 24, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	54,655
Nov 23, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	69,599
Nov 22, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	40,285
Nov 21, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	49,714
Nov 20, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	53,564
Nov 19, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	79,682
Nov 18, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	72,827
Nov 17, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	71,673
Nov 16, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	89,068
Nov 15, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	49,123
Nov 14, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	45,992
Nov 13, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	60,004
Nov 12, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	119,258
Nov 11, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	132,197
Nov 10, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	125,931
Nov 09, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	98,721
Nov 08, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	98,767
Nov 07, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	76,812
Nov 06, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	183,562
Nov 05, 2015	0.0001	0.0002	0.0001	0.0001	0.0001	229,438
Nov 04, 2015	0.0002	0.0002	0.0001	0.0001	0.0001	768,680
Nov 03, 2015	0.0001	0.0002	0.0001	0.0002	0.0002	479,260
Nov 02, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	242,538
Nov 01, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	65,837
Oct 31, 2015	0.0002	0.0002	0.0001	0.0001	0.0001	156,306
Oct 30, 2015	0.0001	0.0002	0.0001	0.0002	0.0002	482,992
Oct 29, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	194,644
Oct 28, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	113,919
Oct 27, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	51,752
Oct 26, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	24,937
Oct 25, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	43,289
Oct 24, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	32,143
Oct 23, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	56,807
Oct 22, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	45,874
Oct 21, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	36,885
Oct 20, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	24,463
Oct 19, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	37,584
Oct 18, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	52,391
Oct 17, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	72,474
Oct 16, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	54,065
Oct 15, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	28,639
Oct 14, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	41,262
Oct 13, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	32,335
Oct 12, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	27,646
Oct 11, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	16,694
Oct 10, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	26,432
Oct 09, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	33,258
Oct 08, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	30,847
Oct 07, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	43,910
Oct 06, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	41,813
Oct 05, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	38,898
Oct 04, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	35,274
Oct 03, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	20,424
Oct 02, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	27,636
Oct 01, 2015	0.0001	0.0001	0.0001	0.0001	0.0001	28,259
